Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,,38.0630464063,102.8022635546,84.9125687124,81.4710218457,92.8774705318235,123.237124361114,95.8807729238942,110.393095430388,104.77815633557,
AL,2703809,Joaquim Gomes,,,,,,,,,,8.6738670669,16,13.848038174,13.6842809148,15.911278947,12.5405653423,15.7732179524,13.3220662422,41.6104400102,47.4339176945,50.5682204559,47.4941610674097,35.0105466934982,32.2468967232828,30.6647487306634,35.4512559030125,
AL,2703908,Jundiá,,,,,,,,,1.1635286048,,,,,,,,,,,,,,,,,
AL,2704005,Junqueiro,,,,3.3302283765,,,,,,2.1684667667,2,1.8464050899,1.7105351143,1.5911278947,2.2130409428,6.8579208489,3.8063046406,4.2834276481,2.9280196108,2.8093455809,2.63856450374499,3.73445831397314,4.72954485274814,4.90635979690614,5.90854265050209,
AL,2704104,Lagoa da Canoa,13.5447061252,20.8588501136,5.6992373609,4.9953425648,4.6359601195,7.1921363802,9.4301656604,2.5313391537,2.3270572096,17.3477341338,3,1.8464050899,0.8552675572,,16.2289669136,23.3169308862,10.1501457083,9.1787735317,28.1089882634,44.9495292942,32.1904869456888,45.7471143461709,36.1165243300767,28.6204321486191,66.1756776856234,
AL,2704203,Limoeiro de Anadia,,,,,,,,,,1.0842333834,1,1.8464050899,0.8552675572,0.7955639474,1.4753606285,1.3715841698,1.2687682135,1.2238364709,4.6848313772,3.9330838132,5.80484190823897,5.13488018171306,4.72954485274814,55.1965477151941,70.9025118060251,
AL,2704302,Maceió,,,,43.2929688946,38.6330009958,21.5764091403,20.2074978438,16.4537044983,12.7988146526,7.5896336835,8,9.2320254493,5.131605343,,,,,,8.7840588323,5.6186911618,5.27712900748997,10.2697603634261,,,17.7256279515063,
AL,2704401,Major Isidoro,,,,,,4.3152818282,6.7358326145,25.3133915357,16.2894004669,15.179267367,15,12.9248356291,6.8421404574,6.3645115788,6.6391228283,10.9726733582,12.6876821354,13.4622011798,15.8113058982,29.7790631574,27.9687837396968,35.0105466934982,32.2468967232828,28.2115688322103,38.2085758065802,
AL,2704500,Maragogi,,,,1.6651141883,7.7266001992,2.876854552,5.3886660916,6.328347884,5.8176430239,8.6738670669,8,7.3856203595,17.1053511435,15.911278947,16.2289669136,15.0874258675,11.4189139219,14.6860376507,21.0817411976,20.2272881824,23.7470805337049,42.0126560321978,32.2468967232828,36.797698476796,51.2073696376848,
AL,2704609,Maravilha,,,,,,,,,,17.3477341338,10,8.3088229044,5.9868729002,23.8669184205,23.6057700562,16.4590100373,12.6876821354,36.1031758912,,56.1869116177,126.651096179759,87.2929630891221,64.4937934465656,105.486735633482,117.383047323308,
AL,2704708,Marechal Deodoro,,,,36.6325121417,30.9064007967,24.4532636924,17.5131647979,12.656695768,11.6352860478,7.5896336835,3,3.6928101797,,,1.4753606285,5.4863366791,10.1501457083,7.9549370608,10.5408705988,10.1136440912,31.6627740449398,69.5542860977497,52.0249933802296,37.6154251096137,26.7853933489428,
AL,2704807,Maribondo,,,,1.6651141883,1.5453200397,1.4384272761,1.3471665229,1.2656695768,1.1635286048,2.1684667667,1,0.9232025449,0.8552675572,2.3866918421,2.2130409428,2.0573762547,1.2687682135,7.3430188253,9.9552666766,8.9899058588,21.6362289307089,23.8071717515787,21.9278897718323,21.2608924532599,30.7244217826109,
AL,2704906,Mar Vermelho,,,,,,,,,,,,,,,,,,1.8357547063,1.7568117665,3.3712146971,4.22170320599198,4.20126560321978,3.43966898381683,2.86204321486191,3.15122274693445,
AL,2705002,Mata Grande,,,,,,,,,,1.0842333834,6,5.5392152696,2.5658026715,2.3866918421,3.6884015713,3.4289604244,3.1719205339,6.7311005899,5.8560392215,10.6755132074,13.1928225187249,8.8693384956862,19.3481380339697,15.5368060235361,27.5731990356764,
AL,2705101,Matriz de Camaragibe,,,,1.6651141883,1.5453200397,7.1921363802,8.0829991375,6.328347884,6.9811716287,5.4211669168,5,4.6160127247,11.1184782432,11.9334592103,14.0159259709,13.7158416978,9.5157616016,36.7150941266,26.3521764969,42.1401837133,52.7712900748997,70.0210933869963,32.2468967232828,34.7533818947518,49.2378554208507,
AL,2705200,Messias,,,,,,,,,,,,,,,1.4753606285,,,,,,,,,2.45317989845307,2.36341706020084,
AL,2705309,Minador do Negrão,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2705408,Monteirópolis,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2705507,Murici,,,,,,,,,,,3,2.7696076348,2.5658026715,11.1378952629,15.4912865994,20.5737625466,18.3971390964,15.9098741215,21.0817411976,20.2272881824,18.9976644269639,23.3403644623321,24.937600132672,30.6647487306634,29.5427132525104,
AL,2705606,Novo Lino,,,,,,,,,,,,,,,,,,12.2383647089,11.7120784431,28.0934558089,39.5784675561748,37.3445831397314,24.937600132672,25.7583889337572,30.3305189392441,
AL,2705705,Olho d'Água das Flores,,,,1.6651141883,,4.3152818282,10.7773321834,8.8596870374,5.8176430239,6.5054003002,5,4.6160127247,4.2763377859,10.3423313156,3.6884015713,0.6857920849,1.9031523203,1.8357547063,1.7568117665,1.1237382324,3.16627740449398,3.73445831397314,3.43966898381683,4.49749648049729,8.27195971070292,
AL,2705804,Olho d'Água do Casado,,,,,1.5453200397,24.4532636924,24.2489974126,17.7193740751,16.2894004669,16.2635007504,27,32.3120890727,11.1184782432,12.7290231576,22.1304094277,19.8879704618,9.5157616016,12.2383647089,5.8560392215,16.2942043691,20.0530902284619,23.8071717515787,21.4979311488552,16.3545326563538,26.391490505576,
